condition,num_episodes,success_once_mean,success_once_std,return_mean,return_std,episode_len_mean,episode_len_std,reward_mean,reward_std,success_at_end_mean,success_at_end_std,model
normal,100,0.800000011920929,0.4000000059604645,28.6025390625,10.820452690124512,50.0,0.0,0.5720507502555847,0.21640904247760773,0.6700000166893005,0.4702127277851105,depth_goal_dr_seed1
cube_ood,100,0.3499999940395355,0.47696954011917114,17.428224563598633,11.225199699401855,50.0,0.0,0.3485644459724426,0.2245039939880371,0.3199999928474426,0.4664761424064636,depth_goal_dr_seed1
goal_near,100,0.8999999761581421,0.30000001192092896,34.084434509277344,7.900768756866455,50.0,0.0,0.681688666343689,0.1580153852701187,0.8999999761581421,0.30000001192092896,depth_goal_dr_seed1
goal_far,100,0.3499999940395355,0.47696956992149353,17.342348098754883,13.168701171875,50.0,0.0,0.34684696793556213,0.26337406039237976,0.3499999940395355,0.47696956992149353,depth_goal_dr_seed1
qpos_shift,100,0.8299999833106995,0.37563279271125793,30.996299743652344,9.914443969726562,50.0,0.0,0.6199259757995605,0.19828887283802032,0.7799999713897705,0.4142463207244873,depth_goal_dr_seed1
episode_combined,100,0.1599999964237213,0.36660608649253845,11.335118293762207,8.720589637756348,50.0,0.0,0.22670239210128784,0.17441177368164062,0.14000000059604645,0.3469870090484619,depth_goal_dr_seed1
mass_low,100,0.7400000095367432,0.4386342763900757,28.33934783935547,10.801898956298828,50.0,0.0,0.5667870044708252,0.21603795886039734,0.6600000262260437,0.4737088084220886,depth_goal_dr_seed1
mass_high,100,0.8199999928474426,0.3841874599456787,28.880163192749023,10.360660552978516,50.0,0.0,0.5776032209396362,0.20721320807933807,0.7200000286102295,0.4489988386631012,depth_goal_dr_seed1
friction_low,100,0.7699999809265137,0.4208325147628784,29.0990047454834,11.119697570800781,50.0,0.0,0.5819799900054932,0.2223939448595047,0.699999988079071,0.4582575559616089,depth_goal_dr_seed1
friction_high,100,0.7699999809265137,0.4208325445652008,28.649354934692383,10.620523452758789,50.0,0.0,0.5729871392250061,0.21241047978401184,0.7099999785423279,0.4537620544433594,depth_goal_dr_seed1
physics_combined,100,0.8299999833106995,0.37563279271125793,29.556137084960938,10.309547424316406,50.0,0.0,0.5911228060722351,0.20619095861911774,0.7300000190734863,0.443959504365921,depth_goal_dr_seed1
full_combined,100,0.20999999344348907,0.4073082506656647,12.113125801086426,9.78499984741211,50.0,0.0,0.24226245284080505,0.1957000195980072,0.1899999976158142,0.39230093359947205,depth_goal_dr_seed1
