condition,num_episodes,success_once_mean,success_once_std,return_mean,return_std,episode_len_mean,episode_len_std,reward_mean,reward_std,success_at_end_mean,success_at_end_std,model
normal,100,0.8500000238418579,0.3570714294910431,29.164840698242188,10.415308952331543,50.0,0.0,0.5832968354225159,0.2083061784505844,0.7900000214576721,0.4073082506656647,depth_goal_stack4_dr_seed1
cube_ood,100,0.27000001072883606,0.4439595341682434,16.449129104614258,8.958308219909668,50.0,0.0,0.3289825916290283,0.17916616797447205,0.25999999046325684,0.4386342763900757,depth_goal_stack4_dr_seed1
goal_near,100,0.8500000238418579,0.3570714294910431,32.23902893066406,8.910969734191895,50.0,0.0,0.6447805166244507,0.17821940779685974,0.8100000023841858,0.39230093359947205,depth_goal_stack4_dr_seed1
goal_far,100,0.33000001311302185,0.4702127277851105,14.311040878295898,12.518223762512207,50.0,0.0,0.2862207889556885,0.2503644824028015,0.3100000023841858,0.46249327063560486,depth_goal_stack4_dr_seed1
qpos_shift,100,0.7699999809265137,0.4208325147628784,27.674335479736328,10.7095308303833,50.0,0.0,0.5534866452217102,0.21419063210487366,0.699999988079071,0.4582575559616089,depth_goal_stack4_dr_seed1
episode_combined,100,0.07999999821186066,0.2712932229042053,10.125057220458984,6.262622356414795,50.0,0.0,0.20250114798545837,0.12525244057178497,0.07999999821186066,0.2712932229042053,depth_goal_stack4_dr_seed1
mass_low,100,0.8299999833106995,0.3756328225135803,28.601455688476562,10.514204978942871,50.0,0.0,0.572029173374176,0.21028409898281097,0.75,0.4330126941204071,depth_goal_stack4_dr_seed1
mass_high,100,0.8100000023841858,0.39230093359947205,28.43402862548828,10.572477340698242,50.0,0.0,0.5686805844306946,0.211449533700943,0.75,0.4330126941204071,depth_goal_stack4_dr_seed1
friction_low,100,0.8399999737739563,0.36660605669021606,29.357627868652344,10.480757713317871,50.0,0.0,0.5871526002883911,0.20961517095565796,0.7699999809265137,0.42083248496055603,depth_goal_stack4_dr_seed1
friction_high,100,0.8399999737739563,0.36660605669021606,29.196083068847656,10.223098754882812,50.0,0.0,0.5839216113090515,0.2044619619846344,0.7900000214576721,0.4073082506656647,depth_goal_stack4_dr_seed1
physics_combined,100,0.8500000238418579,0.3570714294910431,29.32687759399414,10.274222373962402,50.0,0.0,0.5865374803543091,0.20548444986343384,0.75,0.4330126941204071,depth_goal_stack4_dr_seed1
full_combined,100,0.11999999731779099,0.32496151328086853,10.934772491455078,7.279354095458984,50.0,0.0,0.21869543194770813,0.14558708667755127,0.10999999940395355,0.3128897249698639,depth_goal_stack4_dr_seed1
