condition,num_episodes,success_once_mean,success_once_std,return_mean,return_std,episode_len_mean,episode_len_std,reward_mean,reward_std,success_at_end_mean,success_at_end_std,model
normal,100,0.9399999976158142,0.2374868541955948,34.16944885253906,8.421119689941406,50.0,0.0,0.683388888835907,0.1684224009513855,0.9300000071525574,0.2551470100879669,depth_goal_progress_dr_seed3
cube_ood,100,0.46000000834465027,0.4983974099159241,18.950613021850586,12.764688491821289,50.0,0.0,0.37901222705841064,0.25529375672340393,0.4099999964237213,0.49183332920074463,depth_goal_progress_dr_seed3
goal_near,100,0.9100000262260437,0.2861817479133606,36.54475021362305,6.748966217041016,50.0,0.0,0.730894923210144,0.13497932255268097,0.8899999856948853,0.3128897249698639,depth_goal_progress_dr_seed3
goal_far,100,0.49000000953674316,0.4998999536037445,20.453088760375977,13.89294147491455,50.0,0.0,0.4090617895126343,0.27785882353782654,0.47999998927116394,0.4995998442173004,depth_goal_progress_dr_seed3
qpos_shift,100,0.9300000071525574,0.2551470100879669,34.169944763183594,8.20997142791748,50.0,0.0,0.6833987236022949,0.16419942677021027,0.9200000166893005,0.2712932229042053,depth_goal_progress_dr_seed3
episode_combined,100,0.20000000298023224,0.4000000059604645,12.257349014282227,9.666558265686035,50.0,0.0,0.2451469451189041,0.19333118200302124,0.20000000298023224,0.4000000059604645,depth_goal_progress_dr_seed3
mass_low,100,0.9599999785423279,0.1959591954946518,34.866851806640625,7.036649227142334,50.0,0.0,0.6973370909690857,0.14073298871517181,0.9300000071525574,0.2551470100879669,depth_goal_progress_dr_seed3
mass_high,100,0.9300000071525574,0.2551470100879669,34.46696090698242,7.653684616088867,50.0,0.0,0.6893390417098999,0.15307369828224182,0.9200000166893005,0.27129319310188293,depth_goal_progress_dr_seed3
friction_low,100,0.9599999785423279,0.1959591954946518,34.79854965209961,7.344738006591797,50.0,0.0,0.6959711313247681,0.14689475297927856,0.9300000071525574,0.25514698028564453,depth_goal_progress_dr_seed3
friction_high,100,0.9399999976158142,0.2374868541955948,34.370513916015625,7.70820426940918,50.0,0.0,0.687410295009613,0.15416409075260162,0.9200000166893005,0.2712932229042053,depth_goal_progress_dr_seed3
physics_combined,100,0.949999988079071,0.2179449498653412,34.66370391845703,7.599454402923584,50.0,0.0,0.6932740211486816,0.15198907256126404,0.9300000071525574,0.2551470100879669,depth_goal_progress_dr_seed3
full_combined,100,0.33000001311302185,0.4702127277851105,14.610069274902344,11.194012641906738,50.0,0.0,0.292201429605484,0.22388026118278503,0.3199999928474426,0.4664761424064636,depth_goal_progress_dr_seed3
