condition,num_episodes,success_once_mean,success_once_std,return_mean,return_std,episode_len_mean,episode_len_std,reward_mean,reward_std,success_at_end_mean,success_at_end_std,model
normal,100,0.7099999785423279,0.4537620544433594,27.935606002807617,10.83287239074707,50.0,0.0,0.5587121844291687,0.21665744483470917,0.6899999976158142,0.46249324083328247,depth_goal_progress_dr_seed2
cube_ood,100,0.30000001192092896,0.4582575857639313,17.24976348876953,11.257344245910645,50.0,0.0,0.34499531984329224,0.22514688968658447,0.30000001192092896,0.4582575857639313,depth_goal_progress_dr_seed2
goal_near,100,0.9200000166893005,0.27129319310188293,35.117042541503906,6.966244220733643,50.0,0.0,0.702340841293335,0.1393248736858368,0.9100000262260437,0.2861817181110382,depth_goal_progress_dr_seed2
goal_far,100,0.12999999523162842,0.3363034427165985,11.011765480041504,9.375017166137695,50.0,0.0,0.22023528814315796,0.18750032782554626,0.12999999523162842,0.3363034427165985,depth_goal_progress_dr_seed2
qpos_shift,100,0.7400000095367432,0.4386342763900757,27.57147979736328,10.950815200805664,50.0,0.0,0.5514295101165771,0.21901628375053406,0.699999988079071,0.4582575559616089,depth_goal_progress_dr_seed2
episode_combined,100,0.18000000715255737,0.3841874599456787,12.10951042175293,8.585136413574219,50.0,0.0,0.24219024181365967,0.17170275747776031,0.17000000178813934,0.3756328225135803,depth_goal_progress_dr_seed2
mass_low,100,0.75,0.4330126941204071,28.377058029174805,10.450591087341309,50.0,0.0,0.5675411224365234,0.20901183784008026,0.7200000286102295,0.4489988386631012,depth_goal_progress_dr_seed2
mass_high,100,0.7400000095367432,0.4386342763900757,28.461475372314453,10.822921752929688,50.0,0.0,0.5692294239997864,0.21645843982696533,0.7400000095367432,0.4386342763900757,depth_goal_progress_dr_seed2
friction_low,100,0.7400000095367432,0.4386342763900757,28.79480743408203,10.67574691772461,50.0,0.0,0.575896143913269,0.21351490914821625,0.7300000190734863,0.443959504365921,depth_goal_progress_dr_seed2
friction_high,100,0.7599999904632568,0.42708316445350647,28.412395477294922,10.477875709533691,50.0,0.0,0.5682478547096252,0.20955750346183777,0.7400000095367432,0.4386342763900757,depth_goal_progress_dr_seed2
physics_combined,100,0.7699999809265137,0.4208325445652008,29.554746627807617,10.406171798706055,50.0,0.0,0.5910949110984802,0.20812341570854187,0.7699999809265137,0.4208325445652008,depth_goal_progress_dr_seed2
full_combined,100,0.20000000298023224,0.4000000059604645,12.529590606689453,9.098443984985352,50.0,0.0,0.25059178471565247,0.18196888267993927,0.18000000715255737,0.3841874599456787,depth_goal_progress_dr_seed2
