condition,num_episodes,success_once_mean,success_once_std,return_mean,return_std,episode_len_mean,episode_len_std,reward_mean,reward_std,success_at_end_mean,success_at_end_std,model
normal,100,0.8700000047683716,0.3363034129142761,30.753833770751953,8.300352096557617,50.0,0.0,0.6150765419006348,0.16600705683231354,0.7599999904632568,0.42708316445350647,depth_goal_dr_seed1
cube_ood,100,0.4000000059604645,0.4898979961872101,16.042818069458008,10.46376895904541,50.0,0.0,0.32085636258125305,0.20927537977695465,0.3799999952316284,0.4853864312171936,depth_goal_dr_seed1
goal_near,100,0.9800000190734863,0.14000000059604645,38.54297637939453,5.047850131988525,50.0,0.0,0.7708595395088196,0.1009569987654686,0.949999988079071,0.2179449498653412,depth_goal_dr_seed1
goal_far,100,0.019999999552965164,0.14000000059604645,6.8934760093688965,2.6009793281555176,50.0,0.0,0.13786950707435608,0.05201958492398262,0.019999999552965164,0.14000000059604645,depth_goal_dr_seed1
qpos_shift,100,0.8799999952316284,0.32496151328086853,31.042098999023438,9.615007400512695,50.0,0.0,0.6208419799804688,0.19230017066001892,0.8299999833106995,0.3756328225135803,depth_goal_dr_seed1
episode_combined,100,0.10999999940395355,0.3128897249698639,9.256991386413574,6.5498366355896,50.0,0.0,0.18513983488082886,0.1309967339038849,0.09000000357627869,0.2861817181110382,depth_goal_dr_seed1
mass_low,100,0.8899999856948853,0.3128897249698639,31.023710250854492,7.921444892883301,50.0,0.0,0.6204741597175598,0.15842889249324799,0.7699999809265137,0.4208325147628784,depth_goal_dr_seed1
mass_high,100,0.8799999952316284,0.32496151328086853,31.356117248535156,7.840148448944092,50.0,0.0,0.6271223425865173,0.1568029820919037,0.7900000214576721,0.4073082506656647,depth_goal_dr_seed1
friction_low,100,0.8799999952316284,0.32496151328086853,31.3530330657959,8.458672523498535,50.0,0.0,0.6270606517791748,0.1691734492778778,0.7900000214576721,0.4073082506656647,depth_goal_dr_seed1
friction_high,100,0.8799999952316284,0.32496151328086853,30.88214874267578,8.380810737609863,50.0,0.0,0.6176429390907288,0.16761620342731476,0.7799999713897705,0.4142463207244873,depth_goal_dr_seed1
physics_combined,100,0.8799999952316284,0.32496151328086853,32.07242965698242,7.836846351623535,50.0,0.0,0.6414486169815063,0.15673692524433136,0.8199999928474426,0.3841874599456787,depth_goal_dr_seed1
full_combined,100,0.2199999988079071,0.4142463207244873,10.483699798583984,7.757956027984619,50.0,0.0,0.20967406034469604,0.155159130692482,0.1899999976158142,0.39230093359947205,depth_goal_dr_seed1
