condition,num_episodes,success_once_mean,success_once_std,return_mean,return_std,episode_len_mean,episode_len_std,reward_mean,reward_std,success_at_end_mean,success_at_end_std,model
normal,100,0.550000011920929,0.4974936842918396,22.852449417114258,10.99647045135498,50.0,0.0,0.4570489227771759,0.21992939710617065,0.5,0.5,depth_goal_seed1
cube_ood,100,0.25,0.4330126941204071,13.896047592163086,9.573463439941406,50.0,0.0,0.2779209613800049,0.19146926701068878,0.25,0.4330126941204071,depth_goal_seed1
goal_near,100,0.9399999976158142,0.2374868541955948,36.270206451416016,5.127991199493408,50.0,0.0,0.7254042029380798,0.10255981981754303,0.9399999976158142,0.2374868541955948,depth_goal_seed1
goal_far,100,0.019999999552965164,0.13999998569488525,6.235455513000488,3.735295534133911,50.0,0.0,0.12470909208059311,0.07470590621232986,0.019999999552965164,0.13999998569488525,depth_goal_seed1
qpos_shift,100,0.6899999976158142,0.46249327063560486,26.901077270507812,11.282814025878906,50.0,0.0,0.5380215048789978,0.22565628588199615,0.6600000262260437,0.47370877861976624,depth_goal_seed1
episode_combined,100,0.05999999865889549,0.2374868541955948,8.125064849853516,4.1204447746276855,50.0,0.0,0.16250132024288177,0.08240889012813568,0.05999999865889549,0.2374868541955948,depth_goal_seed1
mass_low,100,0.5299999713897705,0.4990991950035095,22.633161544799805,11.552203178405762,50.0,0.0,0.4526633322238922,0.23104405403137207,0.5,0.5,depth_goal_seed1
mass_high,100,0.5600000023841858,0.49638694524765015,23.071989059448242,10.907401084899902,50.0,0.0,0.46143969893455505,0.21814802289009094,0.5,0.5,depth_goal_seed1
friction_low,100,0.5699999928474426,0.4950757622718811,23.78369903564453,11.476323127746582,50.0,0.0,0.47567397356033325,0.22952647507190704,0.5400000214576721,0.4983974099159241,depth_goal_seed1
friction_high,100,0.5199999809265137,0.4995998740196228,22.529033660888672,10.578932762145996,50.0,0.0,0.4505807161331177,0.21157865226268768,0.44999998807907104,0.4974936842918396,depth_goal_seed1
physics_combined,100,0.5899999737739563,0.49183332920074463,23.913949966430664,11.27265453338623,50.0,0.0,0.47827908396720886,0.22545310854911804,0.5299999713897705,0.4990991950035095,depth_goal_seed1
full_combined,100,0.14000000059604645,0.3469870090484619,9.396711349487305,6.145651340484619,50.0,0.0,0.1879342496395111,0.12291303277015686,0.14000000059604645,0.3469870090484619,depth_goal_seed1
