condition,num_episodes,success_once_mean,success_once_std,return_mean,return_std,episode_len_mean,episode_len_std,reward_mean,reward_std,success_at_end_mean,success_at_end_std,model
normal,100,0.75,0.4330126941204071,26.87197494506836,11.035691261291504,50.0,0.0,0.5374394655227661,0.22071382403373718,0.7300000190734863,0.44395947456359863,depth_goal_dr_seed2
cube_ood,100,0.4300000071525574,0.4950757622718811,17.95635986328125,10.47233772277832,50.0,0.0,0.3591271638870239,0.2094467580318451,0.4000000059604645,0.4898979961872101,depth_goal_dr_seed2
goal_near,100,0.949999988079071,0.2179449498653412,34.07637405395508,5.324975490570068,50.0,0.0,0.6815274953842163,0.10649951547384262,0.9300000071525574,0.25514698028564453,depth_goal_dr_seed2
goal_far,100,0.10999999940395355,0.3128897249698639,9.16720199584961,8.643402099609375,50.0,0.0,0.1833440214395523,0.1728680580854416,0.10999999940395355,0.3128897249698639,depth_goal_dr_seed2
qpos_shift,100,0.7599999904632568,0.42708316445350647,27.46541976928711,10.430665969848633,50.0,0.0,0.5493084192276001,0.208613321185112,0.7300000190734863,0.443959504365921,depth_goal_dr_seed2
episode_combined,100,0.1899999976158142,0.39230093359947205,11.834373474121094,9.040962219238281,50.0,0.0,0.2366875261068344,0.18081922829151154,0.1899999976158142,0.39230093359947205,depth_goal_dr_seed2
mass_low,100,0.7200000286102295,0.44899889826774597,26.56903648376465,11.096158027648926,50.0,0.0,0.5313807129859924,0.22192317247390747,0.6899999976158142,0.46249327063560486,depth_goal_dr_seed2
mass_high,100,0.7799999713897705,0.4142462909221649,27.61890411376953,10.40921401977539,50.0,0.0,0.5523781180381775,0.20818430185317993,0.7300000190734863,0.44395947456359863,depth_goal_dr_seed2
friction_low,100,0.7900000214576721,0.4073082506656647,27.635053634643555,10.666604042053223,50.0,0.0,0.5527010560035706,0.21333207190036774,0.7400000095367432,0.4386342763900757,depth_goal_dr_seed2
friction_high,100,0.7699999809265137,0.42083248496055603,27.102094650268555,10.666794776916504,50.0,0.0,0.5420419573783875,0.21333588659763336,0.75,0.4330126941204071,depth_goal_dr_seed2
physics_combined,100,0.7599999904632568,0.42708316445350647,27.237842559814453,10.876996040344238,50.0,0.0,0.5447567701339722,0.2175399214029312,0.699999988079071,0.4582575559616089,depth_goal_dr_seed2
full_combined,100,0.20999999344348907,0.4073082506656647,12.494370460510254,9.43364143371582,50.0,0.0,0.24988745152950287,0.18867282569408417,0.1899999976158142,0.39230093359947205,depth_goal_dr_seed2
