condition,num_episodes,success_once_mean,success_once_std,return_mean,return_std,episode_len_mean,episode_len_std,reward_mean,reward_std,success_at_end_mean,success_at_end_std,model
normal,100,0.5400000214576721,0.4983973801136017,22.583839416503906,11.709028244018555,50.0,0.0,0.4516769051551819,0.2341805398464203,0.5,0.5,depth_goal_contact_dr_seed2
cube_ood,100,0.3199999928474426,0.4664761424064636,15.553189277648926,9.802188873291016,50.0,0.0,0.3110637962818146,0.19604377448558807,0.3199999928474426,0.4664761424064636,depth_goal_contact_dr_seed2
goal_near,100,0.8999999761581421,0.30000001192092896,33.6568603515625,7.509949684143066,50.0,0.0,0.6731371879577637,0.15019899606704712,0.8899999856948853,0.3128897249698639,depth_goal_contact_dr_seed2
goal_far,100,0.03999999910593033,0.1959591954946518,7.97433614730835,5.527532577514648,50.0,0.0,0.15948669612407684,0.110550656914711,0.03999999910593033,0.1959591954946518,depth_goal_contact_dr_seed2
qpos_shift,100,0.5699999928474426,0.4950757622718811,23.0318603515625,11.371047019958496,50.0,0.0,0.4606371819972992,0.22742094099521637,0.5199999809265137,0.4995998442173004,depth_goal_contact_dr_seed2
episode_combined,100,0.07000000029802322,0.2551470100879669,9.114063262939453,5.016970157623291,50.0,0.0,0.1822812706232071,0.10033940523862839,0.07000000029802322,0.2551470100879669,depth_goal_contact_dr_seed2
mass_low,100,0.6000000238418579,0.4898979365825653,23.937620162963867,11.561982154846191,50.0,0.0,0.47875240445137024,0.23123963177204132,0.5099999904632568,0.4998999834060669,depth_goal_contact_dr_seed2
mass_high,100,0.5299999713897705,0.49909916520118713,22.3281192779541,11.770564079284668,50.0,0.0,0.44656237959861755,0.23541128635406494,0.47999998927116394,0.4995998442173004,depth_goal_contact_dr_seed2
friction_low,100,0.6600000262260437,0.47370877861976624,24.916465759277344,11.360773086547852,50.0,0.0,0.4983292520046234,0.2272154539823532,0.6000000238418579,0.4898979365825653,depth_goal_contact_dr_seed2
friction_high,100,0.5299999713897705,0.4990991950035095,21.822715759277344,11.818913459777832,50.0,0.0,0.43645432591438293,0.2363782823085785,0.47999998927116394,0.4995998442173004,depth_goal_contact_dr_seed2
physics_combined,100,0.6399999856948853,0.48000001907348633,25.1352481842041,11.356731414794922,50.0,0.0,0.5027049779891968,0.22713464498519897,0.5899999737739563,0.49183332920074463,depth_goal_contact_dr_seed2
full_combined,100,0.1599999964237213,0.36660608649253845,10.40606689453125,6.5901055335998535,50.0,0.0,0.20812134444713593,0.13180209696292877,0.1599999964237213,0.36660608649253845,depth_goal_contact_dr_seed2
