condition,num_episodes,success_once_mean,success_once_std,return_mean,return_std,episode_len_mean,episode_len_std,reward_mean,reward_std,success_at_end_mean,success_at_end_std,model
normal,100,1.0,0.0,37.47629165649414,5.559218883514404,50.0,0.0,0.7495259046554565,0.11118438094854355,0.7300000190734863,0.443959504365921,episode_dr_seed1
cube_ood,100,0.8600000143051147,0.3469870090484619,28.8657169342041,10.314834594726562,50.0,0.0,0.5773143768310547,0.20629669725894928,0.6299999952316284,0.4828042984008789,episode_dr_seed1
goal_near,100,1.0,0.0,34.42913818359375,8.278570175170898,50.0,0.0,0.6885828375816345,0.1655714064836502,0.5299999713897705,0.4990991950035095,episode_dr_seed1
goal_far,100,0.9399999976158142,0.2374868541955948,36.971248626708984,6.220198631286621,50.0,0.0,0.7394250631332397,0.12440396100282669,0.9399999976158142,0.2374868541955948,episode_dr_seed1
qpos_shift,100,0.9900000095367432,0.09949875622987747,37.90325927734375,5.650417327880859,50.0,0.0,0.7580651640892029,0.11300834268331528,0.7699999809265137,0.4208325147628784,episode_dr_seed1
episode_combined,100,0.5299999713897705,0.49909916520118713,22.761646270751953,12.50621509552002,50.0,0.0,0.4552328884601593,0.2501243054866791,0.49000000953674316,0.4998999834060669,episode_dr_seed1
mass_low,100,1.0,0.0,37.4158935546875,5.6899824142456055,50.0,0.0,0.7483178973197937,0.11379965394735336,0.7300000190734863,0.443959504365921,episode_dr_seed1
mass_high,100,1.0,0.0,37.48036193847656,5.574442386627197,50.0,0.0,0.7496071457862854,0.11148885637521744,0.7300000190734863,0.443959504365921,episode_dr_seed1
friction_low,100,1.0,0.0,37.378883361816406,5.592813491821289,50.0,0.0,0.7475776672363281,0.11185626685619354,0.7300000190734863,0.443959504365921,episode_dr_seed1
friction_high,100,1.0,0.0,37.68424987792969,5.390257835388184,50.0,0.0,0.7536849975585938,0.10780514776706696,0.75,0.4330126941204071,episode_dr_seed1
physics_combined,100,1.0,0.0,37.389888763427734,5.6244797706604,50.0,0.0,0.7477977871894836,0.11248959600925446,0.7300000190734863,0.443959504365921,episode_dr_seed1
full_combined,100,0.5299999713897705,0.49909916520118713,22.528562545776367,12.513400077819824,50.0,0.0,0.45057129859924316,0.25026804208755493,0.4699999988079071,0.4990991950035095,episode_dr_seed1
