condition,num_episodes,success_once_mean,success_once_std,return_mean,return_std,episode_len_mean,episode_len_std,reward_mean,reward_std,success_at_end_mean,success_at_end_std,model
normal,100,1.0,0.0,37.4986457824707,6.083725929260254,50.0,0.0,0.7499728202819824,0.12167452275753021,0.7300000190734863,0.443959504365921,baseline_seed1
cube_ood,100,0.7099999785423279,0.4537620544433594,27.787744522094727,12.798784255981445,50.0,0.0,0.5557548403739929,0.2559756934642792,0.6399999856948853,0.48000001907348633,baseline_seed1
goal_near,100,0.9800000190734863,0.14000000059604645,34.17530822753906,8.76988697052002,50.0,0.0,0.6835060119628906,0.17539772391319275,0.5299999713897705,0.4990991950035095,baseline_seed1
goal_far,100,0.9100000262260437,0.2861817181110382,36.4933967590332,6.690873622894287,50.0,0.0,0.7298681139945984,0.13381747901439667,0.8899999856948853,0.3128897249698639,baseline_seed1
qpos_shift,100,0.9300000071525574,0.2551470100879669,36.48857879638672,8.230257987976074,50.0,0.0,0.7297714948654175,0.16460515558719635,0.7300000190734863,0.443959504365921,baseline_seed1
episode_combined,100,0.5600000023841858,0.49638697504997253,21.5953426361084,14.425623893737793,50.0,0.0,0.4319067895412445,0.2885124683380127,0.5199999809265137,0.4995998442173004,baseline_seed1
mass_low,100,0.9900000095367432,0.09949875622987747,37.219486236572266,6.507656574249268,50.0,0.0,0.7443897128105164,0.1301531344652176,0.7200000286102295,0.4489988386631012,baseline_seed1
mass_high,100,1.0,0.0,37.47476577758789,6.1232171058654785,50.0,0.0,0.749495267868042,0.12246435135602951,0.7300000190734863,0.443959504365921,baseline_seed1
friction_low,100,1.0,0.0,37.55961608886719,5.988969802856445,50.0,0.0,0.7511923313140869,0.11977940797805786,0.7300000190734863,0.443959504365921,baseline_seed1
friction_high,100,0.9800000190734863,0.14000000059604645,37.14765548706055,6.681124210357666,50.0,0.0,0.7429530620574951,0.13362248241901398,0.7300000190734863,0.443959504365921,baseline_seed1
physics_combined,100,0.9900000095367432,0.09949875622987747,37.87812042236328,5.652146816253662,50.0,0.0,0.7575623989105225,0.11304294317960739,0.7400000095367432,0.4386342763900757,baseline_seed1
full_combined,100,0.5699999928474426,0.4950757622718811,21.688512802124023,14.307844161987305,50.0,0.0,0.4337702989578247,0.28615686297416687,0.5199999809265137,0.4995998442173004,baseline_seed1
