condition,num_episodes,success_once_mean,success_once_std,return_mean,return_std,episode_len_mean,episode_len_std,reward_mean,reward_std,success_at_end_mean,success_at_end_std,model
normal,100,0.5199999809265137,0.4995998442173004,22.482799530029297,10.683915138244629,50.0,0.0,0.4496559798717499,0.2136783003807068,0.41999998688697815,0.49355852603912354,depth_goal_stack4_dr_seed3
cube_ood,100,0.23000000417232513,0.4208325147628784,14.138766288757324,8.82372760772705,50.0,0.0,0.28277531266212463,0.17647457122802734,0.20000000298023224,0.40000003576278687,depth_goal_stack4_dr_seed3
goal_near,100,0.7400000095367432,0.4386342763900757,29.18194007873535,9.515583038330078,50.0,0.0,0.5836388468742371,0.19031165540218353,0.699999988079071,0.4582575559616089,depth_goal_stack4_dr_seed3
goal_far,100,0.11999999731779099,0.32496151328086853,10.568512916564941,6.77244234085083,50.0,0.0,0.21137027442455292,0.13544884324073792,0.10000000149011612,0.30000001192092896,depth_goal_stack4_dr_seed3
qpos_shift,100,0.5299999713897705,0.4990991950035095,23.100074768066406,10.468440055847168,50.0,0.0,0.4620014429092407,0.20936879515647888,0.47999998927116394,0.4995998442173004,depth_goal_stack4_dr_seed3
episode_combined,100,0.05000000074505806,0.2179449498653412,9.391000747680664,4.461082458496094,50.0,0.0,0.18782003223896027,0.08922165632247925,0.05000000074505806,0.2179449498653412,depth_goal_stack4_dr_seed3
mass_low,100,0.5299999713897705,0.49909916520118713,23.23174476623535,10.807872772216797,50.0,0.0,0.4646349251270294,0.2161574512720108,0.4399999976158142,0.49638694524765015,depth_goal_stack4_dr_seed3
mass_high,100,0.5600000023841858,0.49638694524765015,23.233867645263672,10.607959747314453,50.0,0.0,0.4646773636341095,0.2121591717004776,0.47999998927116394,0.4995998442173004,depth_goal_stack4_dr_seed3
friction_low,100,0.550000011920929,0.4974936842918396,23.590415954589844,10.985577583312988,50.0,0.0,0.4718082547187805,0.2197115272283554,0.5099999904632568,0.4998999834060669,depth_goal_stack4_dr_seed3
friction_high,100,0.550000011920929,0.497493714094162,22.751449584960938,10.479818344116211,50.0,0.0,0.4550289511680603,0.20959636569023132,0.46000000834465027,0.4983974099159241,depth_goal_stack4_dr_seed3
physics_combined,100,0.5299999713897705,0.49909916520118713,23.440637588500977,11.205227851867676,50.0,0.0,0.4688127040863037,0.22410456836223602,0.4699999988079071,0.49909916520118713,depth_goal_stack4_dr_seed3
full_combined,100,0.07000000029802322,0.2551470100879669,9.44601821899414,4.79008150100708,50.0,0.0,0.18892036378383636,0.09580163657665253,0.05000000074505806,0.2179449498653412,depth_goal_stack4_dr_seed3
